These requirements are present in `Requirments/CanIf_SWS_AR403.csv` but do not map to any function in `CanIf.c` (config-only items, header-only requirements, or missing APIs/features).

| Req ID | CanIf.c function(s) / mapping target |
| --- | --- |
| SWS_CANIF_00378 | None in CanIf.c (link-time CanDrv function pointer config; no CanIf.c logic; maps to CanDrv declarations in OpenSAR/include/Can.h and platform driver implementations in OpenSAR/arch/*/drivers/Can.c) |
| SWS_CANIF_00672 | None in CanIf.c (header-only requirement for CanIf.h; maps to OpenSAR/include/CanIf.h) |
| SWS_CANIF_00903 | None in CanIf.c (Bus Mirroring disabled; Mirror.h not included; maps to absent Bus Mirroring support: no Mirror.h/Mirror_ReportCanFrame integration and no CanIf_EnableBusMirroring API in OpenSAR/include/CanIf.h or OpenSAR/communication/CanIf/CanIf.c) |
| SWS_CANIF_00023 | None in CanIf.c (architectural rule; not a single CanIf.c function; maps across CanIf hardware access points: OpenSAR/communication/CanIf/CanIf.c calls Can.h APIs such as Can_Write, Can_SetControllerMode, and Can_InitController instead of touching CAN hardware directly) |
| SWS_CANIF_00662 | None in CanIf.c (HTH/HRH type definitions in config headers; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00291 | None in CanIf.c (HRH definition in config headers; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00664 | None in CanIf.c (HRH-to-RxPdu grouping is configuration-only; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00292 | None in CanIf.c (HTH definition in config headers; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00466 | None in CanIf.c (Tx buffering config; buffering not implemented; maps to missing Tx buffering support: no CanIfTxBuffer data structure or buffer retry/removal logic in OpenSAR/communication/CanIf/CanIf.c; closest implemented path is CanIf_Transmit -> Can_Write) |
| SWS_CANIF_00667 | None in CanIf.c (HTH-to-TxPdu grouping is configuration-only; maps to configuration structures in OpenSAR/include/CanIf_ConfigTypes.h and generated CanIf_Cfg.c files under OpenSAR/boards/*/*/config/) |
| SWS_CANIF_00844 | None in CanIf.c (dynamic L-PDUs/MetaData not supported; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
| SWS_CANIF_00855 | None in CanIf.c (MetaData CanId handling not supported; maps to disabled dynamic/metadata support: CANIF_SETDYNAMICTXID_API and CANIF_ARC_RUNTIME_PDU_CONFIGURATION in generated CanIf_Cfg.h, CanIf_PduTypeType in OpenSAR/include/CanIf_ConfigTypes.h, and optional CanIf_SetDynamicTxId guard in OpenSAR/include/CanIf.h) |
