Requirement to Code Traceability matrix

| Req ID          | CanIf.c function(s) |
| SWS_CANIF_00665 | CanIf_RxIndication |
| SWS_CANIF_00663 | CanIf_RxIndication |
| SWS_CANIF_00666 | CanIf_Transmit, CanIf_TxConfirmation |
| SWS_CANIF_00115 | CanIf_Arc_FindHrhChannel |
| SWS_CANIF_00469 | CanIf_RxIndication |
| SWS_CANIF_00211 | CanIf_RxIndication |
| SWS_CANIF_00877 | CanIf_RxIndication |
| SWS_CANIF_00382 | CanIf_Transmit |
| SWS_CANIF_00085 | CanIf_Init |
| SWS_CANIF_00864 | CanIf_Init |
| SWS_CANIF_00387 | CanIf_Init |
| SWS_CANIF_00308 | CanIf_SetControllerMode |
| SWS_CANIF_00311 | CanIf_SetControllerMode |
| SWS_CANIF_00774 | CanIf_SetControllerMode |
| SWS_CANIF_00313 | CanIf_GetControllerMode |
| SWS_CANIF_00656 | CanIf_GetControllerMode |
| SWS_CANIF_00677 | CanIf_Transmit |
| SWS_CANIF_00865 | CanIf_SetControllerMode |
| SWS_CANIF_00866 | CanIf_SetControllerMode, CanIf_ControllerBusOff |
| SWS_CANIF_00073 | CanIf_Transmit, CanIf_TxConfirmation, CanIf_RxIndication |
| SWS_CANIF_00489 | CanIf_Transmit, CanIf_RxIndication |
| SWS_CANIF_00075 | CanIf_SetControllerMode |
| SWS_CANIF_00072 | CanIf_TxConfirmation |
| SWS_CANIF_00118 | CanIf_ControllerBusOff |
| SWS_CANIF_00341 | CanIf_SetPduMode |
| SWS_CANIF_00860 | CanIf_SetPduMode |
| SWS_CANIF_00874 | CanIf_SetPduMode |
| SWS_CANIF_00346 | CanIf_GetPduMode |
| SWS_CANIF_00657 | CanIf_GetPduMode |
| SWS_CANIF_00317 | CanIf_Transmit |
| SWS_CANIF_00318 | CanIf_Transmit |
| SWS_CANIF_00243 | CanIf_Transmit |
| SWS_CANIF_00162 | CanIf_Transmit |
| SWS_CANIF_00319 | CanIf_Transmit |
| SWS_CANIF_00320 | CanIf_Transmit |
| SWS_CANIF_00882 | CanIf_Transmit |
| SWS_CANIF_00893 | CanIf_Transmit |
| SWS_CANIF_00894 | CanIf_Transmit |
| SWS_CANIF_00900 | CanIf_Transmit |
| SWS_CANIF_00381 | CanIf_Transmit |
| SWS_CANIF_00881 | CanIf_Transmit |
| SWS_CANIF_00386 | CanIf_TxConfirmation |
| SWS_CANIF_00485 | CanIf_SetControllerMode |
| SWS_CANIF_00739 | CanIf_SetControllerMode |
| SWS_CANIF_00383 | CanIf_TxConfirmation |
| SWS_CANIF_00412 | CanIf_TxConfirmation |
| SWS_CANIF_00410 | CanIf_TxConfirmation |
| SWS_CANIF_00551 | CanIf_RxIndication |
| SWS_CANIF_00389 | CanIf_RxIndication |
| SWS_CANIF_00390 | CanIf_RxIndication |
| SWS_CANIF_00030 | CanIf_RxIndication |
| SWS_CANIF_00852 | CanIf_RxIndication |
| SWS_CANIF_00026 | CanIf_RxIndication |
| SWS_CANIF_00902 | CanIf_RxIndication |
| SWS_CANIF_00168 | CanIf_RxIndication |
| SWS_CANIF_00829 | CanIf_RxIndication |
| SWS_CANIF_00830 | CanIf_RxIndication |
| SWS_CANIF_00056 | CanIf_RxIndication |
| SWS_CANIF_00135 | CanIf_RxIndication |
| SWS_CANIF_00415 | CanIf_RxIndication |
| SWS_CANIF_00416 | CanIf_Arc_FindHrhChannel |
| SWS_CANIF_00417 | CanIf_RxIndication |
| SWS_CANIF_00419 | CanIf_RxIndication |
| SWS_CANIF_00421 | CanIf_RxIndication |
| SWS_CANIF_00423 | CanIf_RxIndication |
| SWS_CANIF_00552 | CanIf_RxIndication |
| SWS_CANIF_00442 | CanIf_RxIndication |
| SWS_CANIF_00445 | CanIf_RxIndication |
| SWS_CANIF_00448 | CanIf_RxIndication |
| SWS_CANIF_00554 | CanIf_RxIndication |
| SWS_CANIF_00557 | CanIf_RxIndication |
| SWS_CANIF_00324 | CanIf_ReadRxPduData |
| SWS_CANIF_00325 | CanIf_ReadRxPduData |
| SWS_CANIF_00326 | CanIf_ReadRxPduData |
| SWS_CANIF_00393 | CanIf_ReadTxNotifStatus |
| SWS_CANIF_00331 | CanIf_ReadTxNotifStatus |
| SWS_CANIF_00394 | CanIf_ReadRxNotifStatus |
| SWS_CANIF_00336 | CanIf_ReadRxNotifStatus |
| SWS_CANIF_00188 | CanIf_SetDynamicTxId |
| SWS_CANIF_00673 | CanIf_SetDynamicTxId |
| SWS_CANIF_00352 | CanIf_SetDynamicTxId |
| SWS_CANIF_00353 | CanIf_SetDynamicTxId |
| SWS_CANIF_00355 | CanIf_SetDynamicTxId |
| SWS_CANIF_00724 | CanIf_ControllerBusOff |
| SWS_CANIF_00429 | CanIf_ControllerBusOff |
| SWS_CANIF_00431 | CanIf_ControllerBusOff |
| SWS_CANIF_00395 | CanIf_CheckWakeup |
| SWS_CANIF_00678 | CanIf_CheckWakeup |
| SWS_CANIF_00179 | CanIf_CheckValidation |
| SWS_CANIF_00756 | CanIf_SetControllerMode |
| SWS_CANIF_00398 | CanIf_CheckWakeup |
| SWS_CANIF_00404 | CanIf_CheckValidation |
| SWS_CANIF_00358 | CanIf_SetTransceiverMode |
| SWS_CANIF_00538 | CanIf_SetTransceiverMode |
| SWS_CANIF_00648 | CanIf_SetTransceiverMode |
| SWS_CANIF_00363 | CanIf_GetTransceiverMode |
