Requirement to Code Traceability matrix

| Req ID | CanIf.c function(s) / (description from csv) |
| --- | --- |
| SWS_CANIF_00665 | CanIf_RxIndication / (HRH enables CanIf to use BasicCAN or FullCAN reception and to indicate a received L-SDU to the target upper layer module) |
| SWS_CANIF_00663 | CanIf_RxIndication / (HRH referencing a BasicCAN reception unit shall enable software filtering in CanIf) |
| SWS_CANIF_00666 | CanIf_Transmit, CanIf_TxConfirmation / (HTH enables CanIf to use BasicCAN or FullCAN transmission and to confirm a transmitted L-SDU to the target upper layer module) |
| SWS_CANIF_00115 | CanIf_Arc_FindHrhChannel / (CanIf shall use all HRHs and HTHs of one CanDrv as a common single numbering area starting with zero) |
| SWS_CANIF_00469 | CanIf_RxIndication / (CanIf shall configure and store a software acceptance filter for each BasicCAN HRH via CanIfHrhSoftwareFilter) |
| SWS_CANIF_00211 | CanIf_RxIndication / (CanIf shall execute the software acceptance filter for the HRH passed by CanIf_RxIndication()) |
| SWS_CANIF_00877 | CanIf_RxIndication / (CanIf shall compare CanIfRxPduCanId and CanIfRxPduCanIdType against the received Mailbox->CanId to select the correct reception L-SDU) |
| SWS_CANIF_00382 | CanIf_Transmit / (If the PDU channel mode is CANIF_OFFLINE, CanIf shall report CANIF_E_STOPPED and CanIf_Transmit() shall return E_NOT_OK) |
| SWS_CANIF_00085 | CanIf_Init / (CanIf_Init() shall initialize the global variables and data structures of the CanIf including flags and buffers) |
| SWS_CANIF_00864 | CanIf_Init / (During initialization CanIf shall switch every channel to CANIF_OFFLINE) |
| SWS_CANIF_00387 | CanIf_Init / (CanIf_Init() shall initialize every Transmit L-PDU Buffer assigned to CanIf) |
| SWS_CANIF_00308 | CanIf_SetControllerMode / (CanIf_SetControllerMode() shall call Can_SetControllerMode() for the requested CAN controller) |
| SWS_CANIF_00311 | CanIf_SetControllerMode / (Invalid ControllerId in CanIf_SetControllerMode() shall report CANIF_E_PARAM_CONTROLLERID) |
| SWS_CANIF_00774 | CanIf_SetControllerMode / (Invalid ControllerMode in CanIf_SetControllerMode() shall report CANIF_E_PARAM_CTRLMODE) |
| SWS_CANIF_00313 | CanIf_GetControllerMode / (Invalid ControllerId in CanIf_GetControllerMode() shall report CANIF_E_PARAM_CONTROLLERID) |
| SWS_CANIF_00656 | CanIf_GetControllerMode / (Invalid ControllerModePtr in CanIf_GetControllerMode() shall report CANIF_E_PARAM_POINTER) |
| SWS_CANIF_00677 | CanIf_Transmit / (If controller is in CAN_CS_STOPPED and the TxPdu is assigned to it, CanIf_Transmit() shall not call Can_Write() and shall return E_NOT_OK) |
