Requirement to Code Traceability matrix

| Req ID | CanIf.c function(s) / description from csv |
| --- | --- |
| SWS_CANIF_00665 | CanIf_RxIndication / The HRH shall enable CanIf to use BasicCAN or a FullCAN reception method of the referenced reception unit and to indicate a Received L-SDU to a target upper layer module. |
| SWS_CANIF_00663 | CanIf_RxIndication / If the HRH references a reception unit configured for BasicCAN reception, software filtering shall be enabled in CanIf. |
| SWS_CANIF_00666 | CanIf_Transmit, CanIf_TxConfirmation / The HTH shall enable CanIf to use BasicCAN or FullCAN transmission method of the referenced transmission unit and to confirm a transmitted L-SDU to a target upper layer module. |
| SWS_CANIF_00115 | CanIf_Arc_FindHrhChannel / CanIf shall be able to use all HRHs and HTHs of one CanDrv as common, single numbering area starting with zero. |
| SWS_CANIF_00469 | CanIf_RxIndication / CanIf shall give the possibility to configure and store a software acceptance filter for each HRH of type BasicCAN configured by parameter CanIfHrhSoftwareFilter. |
| SWS_CANIF_00211 | CanIf_RxIndication / CanIf shall execute the software acceptance filter from [SWS_CANIF_00469] for the HRH passed by callback function CanIf_RxIndication(). |
| SWS_CANIF_00877 | CanIf_RxIndication / If CanIf receives a L-PDU (see CanIf_RxIndication()), it shall perform the following comparisons to select the correct reception L-SDU configured in CanIfRxPduCfg: compare CanIfRxPduCanId with the passed Mailbox->CanId (Can_IdType) excluding the two most significant bits compare CanIfRxPduCanIdType with the two most significant bits of the passed Mailbox->CanId (Can_IdType) |
| SWS_CANIF_00382 | CanIf_Transmit / If an L-PDU is requested to be transmitted via a PDU channel mode, which equals CANIF_OFFLINE, the CanIf shall report the runtime error code CANIF_E_STOPPED to the Det_ReportRuntimeError() service of the DET and CanIf_Transmit() shall return E_NOT_OK. |
| SWS_CANIF_00085 | CanIf_Init / The service CanIf_Init() shall initialize the global variables and data structures of the CanIf including flags and buffers. |
| SWS_CANIF_00864 | CanIf_Init / During initialization CanIf shall switch every channel to CANIF_OFFLINE. |
| SWS_CANIF_00387 | CanIf_Init / When function CanIf_Init() is called, CanIf shall initialize every Transmit L-PDU Buffer assigned to CanIf. |
| SWS_CANIF_00308 | CanIf_SetControllerMode / The service CanIf_SetControllerMode() shall call Can_SetControllerMode(Controller, Transition) for the requested CAN controller. |
| SWS_CANIF_00311 | CanIf_SetControllerMode / If parameter ControllerId of CanIf_SetControllerMode() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_CONTROLLERID to the Det_ReportError service of the DET module, when CanIf_SetControllerMode() is called. |
| SWS_CANIF_00774 | CanIf_SetControllerMode / If parameter ControllerMode of CanIf_SetControllerMode() has an invalid value (not CAN_CS_STARTED, CAN_CS_SLEEP or CAN_CS_STOPPED), the CanIfshall report development error code CANIF_E_PARAM_CTRLMODE to the Det_ReportError service of the DET module, when CanIf_SetControllerMode() is called. |
| SWS_CANIF_00313 | CanIf_GetControllerMode / If parameter ControllerId of CanIf_GetControllerMode() has an invalid, the CanIf shall report development error code CANIF_E_PARAM_CONTROLLERID to the Det_ReportError service of the DET, when CanIf_GetControllerMode() is called. |
| SWS_CANIF_00656 | CanIf_GetControllerMode / If parameter ControllerModePtr of CanIf_GetControllerMode() has an invalid value, the CanIf shall report development error code CANIF_E_PARAM_POINTER to the Det_ReportError service of the DET, when CanIf_GetControllerMode() is called. |
