Req_ID,SWS_Reference,Requirement_Description,Function,File,Start_Line,End_Line,Implementation_Status,DET_Error_ID,Verification_Method,Notes
CANIF001,SWS_CANIF_00001,CanIf_Init shall initialize all CanIf-internal variables and set module state to initialized,CanIf_Init,CanIf.c,131,146,Implemented,CANIF_E_PARAM_POINTER,Code Review / Unit Test,Sets initRun=TRUE; initializes channelData array
CANIF007,SWS_CANIF_00007,CanIf_Init shall set all CAN controller modes to CANIF_CS_STOPPED,CanIf_Init,CanIf.c,139,139,Implemented,,Code Review,Loop sets each channel ControllerMode = CANIF_CS_STOPPED
CANIF008,SWS_CANIF_00008,CanIf_Init shall set all PDU channel modes to CANIF_GET_OFFLINE,CanIf_Init,CanIf.c,140,140,Implemented,,Code Review,Loop sets each channel PduMode = CANIF_GET_OFFLINE
CANIF066,SWS_CANIF_00066,CanIf shall have access to CAN Driver configuration data (CanControllerConfigType),CanIf_InitController,CanIf.c,185,199,Implemented,,Code Review,canConfig pointer obtained from ControllerConfig[]; access to Can_ControllerConfigType
CANIF092,SWS_CANIF_00092,If controller is in STARTED state during CanIf_InitController it shall be set to STOPPED first,CanIf_InitController,CanIf.c,168,175,Implemented,CANIF_E_PARAM_CONTROLLER_MODE,Code Review / Unit Test,Calls CanIf_SetControllerMode(CANIF_CS_STOPPED) if mode==STARTED; DET if not STOPPED
CANIF293,SWS_CANIF_00293,CanIf_InitController shall subsequently call the CAN Driver initialization services,CanIf_InitController,CanIf.c,200,204,Implemented,,Code Review,Calls Can_InitController(canControllerId canConfig) then sets mode to STOPPED
CANIF017,SWS_CANIF_00017,CanIf_SetControllerMode shall transition controller to CANIF_CS_STARTED and enable PDU mode ONLINE,CanIf_SetControllerMode,CanIf.c,248,268,Implemented,,Code Review / State Machine Test,Calls CanIf_SetPduMode(CANIF_SET_ONLINE) then Can_SetControllerMode(CAN_T_START)
CANIF021,SWS_CANIF_00021,CanIf_SetControllerMode shall transition controller to CANIF_CS_SLEEP via STOPPED state,CanIf_SetControllerMode,CanIf.c,271,289,Implemented,,Code Review / State Machine Test,If from STARTED: calls CAN_T_STOP first then CAN_T_SLEEP (Figure 33)
CANIF022,SWS_CANIF_00022,CanIf_SetControllerMode shall transition controller to CANIF_CS_STOPPED and set PDU mode OFFLINE,CanIf_SetControllerMode,CanIf.c,291,311,Implemented,,Code Review / State Machine Test,Calls CanIf_SetPduMode(CANIF_SET_OFFLINE) then Can_SetControllerMode(CAN_T_STOP)
CANIF023,SWS_CANIF_00023,CanIf_GetControllerMode shall return the current CAN controller mode via output pointer,CanIf_GetControllerMode,CanIf.c,322,335,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_CONTROLLER / CANIF_E_PARAM_POINTER,Code Review / Unit Test,Reads from CanIf_Global.channelData[channel].ControllerMode
CANIF005,SWS_CANIF_00005,CanIf_Transmit shall request transmission of a CAN L-PDU to the CAN Driver,CanIf_Transmit,CanIf.c,423,482,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_POINTER / CANIF_E_INVALID_TXPDUID,Code Review / Integration Test,Validates mode then calls Can_Write()
CANIF011,SWS_CANIF_00011,CanIf_Transmit shall call Can_Write with the HTH and PDU data,CanIf_Transmit,CanIf.c,469,479,Implemented,,Code Review,Can_Write called with CanIfHthIdSymRef and constructed Can_PduType
CANIF161,SWS_CANIF_00161,CanIf_Transmit shall check that the CAN controller is in STARTED state before transmitting; if CAN_BUSY is returned tx buffering is not applied,CanIf_Transmit,CanIf.c,450,479,Implemented,,Code Review / Unit Test,Returns E_NOT_OK if csMode != CANIF_CS_STARTED (L450); returns E_NOT_OK on CAN_BUSY (L475) - buffering not supported
CANIF082,SWS_CANIF_00082,CanIf_Transmit shall handle CAN_BUSY return from Can_Write (transmit buffer full),CanIf_Transmit,CanIf.c,475,479,Implemented (no buffering),CANIF_E_INVALID_TXPDUID,Code Review,Returns E_NOT_OK on CAN_BUSY; comment notes buffering not supported
CANIF072,SWS_CANIF_00072,CanIf_SetPduMode shall set the channel PDU mode according to the requested mode transition,CanIf_SetPduMode,CanIf.c,544,630,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_CONTROLLER,Code Review / State Machine Test,Full state machine for all 7 set-mode values; transitions stored in channelData[channel].PduMode
CANIF075,SWS_CANIF_00075,CanIf_GetPduMode shall return the current channel PDU mode via output pointer,CanIf_GetPduMode,CanIf.c,632,646,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_CONTROLLER,Code Review / Unit Test,Reads CanIf_Global.channelData[channel].PduMode
CANIF189,SWS_CANIF_00189,CanIf_SetDynamicTxId shall update the CAN ID of a dynamic L-PDU,CanIf_SetDynamicTxId,CanIf.c,647,683,Implemented,CANIF_E_UNINIT / CANIF_E_INVALID_TXPDUID / CANIF_E_PARAM_CANID,Code Review / Unit Test,Updates txEntry->CanIfCanTxPduIdCanId at runtime
CANIF013,SWS_CANIF_00013,CanIf_TxConfirmation shall notify upper layer of successful L-PDU transmission,CanIf_TxConfirmation,CanIf.c,742,761,Implemented,CANIF_E_UNINIT / CANIF_E_PARAM_LPDU,Code Review / Integration Test,Calls entry->CanIfUserTxConfirmation() if mode allows TX
CANIF053,SWS_CANIF_00053,Upper layer TX confirmation callbacks shall only be called when the PDU channel mode allows transmission,CanIf_TxConfirmation,CanIf.c,754,758,Implemented,,Code Review,Checks mode is TX_ONLINE / ONLINE / OFFLINE_ACTIVE before calling upper layer callback (CANIF053 tag at L757)
